,SAVSNET_consult_id,SAVSNET MPC,Consult_date,Species,All_Chemicals,Chemical,chemical,Disease,disease,vaccines,vacc,simple_chem,Simple_chem,year,month
3792,970845,vaccination,22-12-2015 14:19,dog,,,,['Cough'],['Cough'],['Kennel cough vaccine'],kc,,,2015,December
1428,1300633,other_healthy,03-09-2016 10:03,cat,,,,,,,,,,2016,September
111,408440,other_healthy,05-11-2015 14:56,dog,,,,,,,,,,2015,November
287,5005590,other_healthy,09-05-2018 10:52,dog,,,,,,,,,,2018,May
2247,5606213,other_healthy,16-01-2019 18:08,dog,,,,,,,,,,2019,January
425,4523608,vaccination,21-05-2018 11:44,dog,,,,,,,,,,2018,May
4285,360929,vaccination,03-07-2015 14:41,cat,,,,,,,,,,2015,July
435,929161,other_healthy,12-11-2015 18:46,dog,"['cytarabine', 'cytarabine inj']",['cytarabine'],['cytarabine'],,,,,['cytarabine inj'],['cytarabine inj'],2015,November
2662,6051597,other_healthy,05-01-2019 16:20,dog,,,,,,,,,,2019,January
4129,2107354,vaccination,09-02-2016 10:06,cat,,,['CVR/FeLV'],,,,,,,2016,February
3538,589352,other_healthy,09-08-2015 16:43,dog,,,,,,,,,,2015,August
2861,1367390,vaccination,23-03-2016 10:59,unknown,,,,,,['Nobivaclepto4'],l4,,,2016,March
2160,3013944,post_op,04-12-2017 09:17,dog,,,,,,,,,,2017,December
2602,6231823,vaccination,06-12-2019 09:13,dog,"['nobivacdhp', 'Nobivaclepto2 A426A01']","['nobivacdhp', 'Nobivaclepto2 A426A01']","['nobivacdhp', 'Nobivaclepto2 A426A01']",,,"['Nobivacdhp', 'Nobivaclepto2']",dhp l2,,,2019,December
1065,2615262,other_unwell,30-12-2016 10:26,dog,,,,,,,,,,2016,December
2622,1770298,vaccination,21-06-2016 10:10,dog,,,,,,,,,,2016,June
2288,4877798,vaccination,08-09-2018 17:32,dog,,,,,,,,,,2018,September
3387,2531771,vaccination,12-07-2016 15:06,dog,,,,,,,,,,2016,July
1193,4863937,other_healthy,08-07-2018 15:41,dog,,,,,,,,,,2018,July
3974,4554583,other_healthy,30-05-2018 16:19,dog,,,,,,,,,,2018,May
1864,2268946,other_healthy,10-07-2016 08:56,cat,,,,['Club'],['Club'],,,,,2016,July
4043,88383,vaccination,24-06-2014 15:42,dog,,,,,['healer'],,,,,2014,June
4003,5839992,other_healthy,03-11-2019 16:16,dog,,,,,['healer'],,,,,2019,November
343,3242181,vaccination,13-06-2017 11:06,dog,,,,,,['Nobivaclepto4'],l4,,,2017,June
3278,4472145,vaccination,05-04-2018 14:27,dog,,,,,,,,,,2018,April
3887,1583589,vaccination,05-11-2016 09:42,dog,,,,['Cough'],['Cough'],['Kennel cough vaccine'],kc,,,2016,November
2317,2159960,vaccination,13-09-2016 17:34,dog,,,,,,['Nobivaclepto4'],l4,,,2016,September
3552,4541950,vaccination,25-05-2018 15:07,dog,,,,,,,,,,2018,May
4346,482206,other_healthy,17-07-2015 09:28,unknown,,,,,['healer'],,,,,2015,July
3911,2559929,vaccination,14-12-2016 14:53,cat,,,,,,,,,,2016,December
2618,6818375,other_unwell,16-10-2019 15:06,canary,,,"['Iso', 'Put']",,,,,"['Iso', 'Put']",,2019,October
3166,5542001,vaccination,01-03-2019 14:02,dog,,,,,,,,,,2019,March
3047,18180,post_op,04-08-2014 12:02,dog,,,,,,,,,,2014,August
2458,5932778,other_healthy,04-02-2019 11:38,unknown,,,,,,,,,,2019,February
2825,3642179,post_op,20-09-2017 09:48,cat,,,,,,['Loxicom meloxicam'],loxicom,,,2017,September
1096,1076170,pruritus,19-01-2016 10:47,dog,,,,,,,,,,2016,January
3734,4526062,other_healthy,21-05-2018 17:59,cat,,,['trica'],['Feline leukemia virus'],['Feline leukemia virus'],"['Nobivac tricat', 'Feline leukemia virus vaccine']",tricat felv,,,2018,May
635,4790524,vaccination,23-07-2018 19:19,cat,,,,,,,,,,2018,July
2660,6830976,vaccination,18-10-2019 17:41,cat,,,['trica A378A01'],,,"['Nobivac', 'Nobivac tricat']",nobivac tricat,,,2019,October
4238,1842701,other_healthy,07-06-2016 12:33,rabbit,,,,,,,,,,2016,June
436,4776945,trauma,20-07-2018 13:42,cat,,,,,,,,,,2018,July
1617,967551,other_unwell,21-12-2015 18:22,dog,,,['Put'],,['38.7C'],,,['Put'],,2015,December
928,640021,vaccination,24-09-2015 17:29,dog,,,,,,,,,,2015,September
501,6582979,other_healthy,23-08-2019 12:05,dog,,,,,,,,,,2019,August
2319,1736715,vaccination,13-06-2016 18:23,cat,,,,,,,,,,2016,June
2449,5967278,vaccination,04-10-2019 11:38,cat,,,['trica'],['Feline leukemia virus 6UW201'],['Feline leukemia virus 6UW201'],"['Nobivac tricat', 'Feline leukemia virus vaccine']",tricat felv,,,2019,October
2603,3737696,other_healthy,10-12-2017 11:09,dog,,,,,,,,,,2017,December
2180,5637210,post_op,23-01-2019 16:30,dog,,,,,,,,,,2019,January
2461,6125387,post_op,18-05-2019 10:28,cat,,,,,,,,,,2019,May
1672,2905237,post_op,14-03-2017 16:39,dog,,,,['Vomiting'],['Vomiting'],,,,,2017,March
104,2583229,vaccination,20-12-2016 14:14,dog,,,,,,,,,,2016,December
3838,1511849,post_op,23-04-2016 10:07,rabbit,,,,,,,,,,2016,April
1586,5907303,vaccination,27-03-2019 09:35,dog,['Intranasal 1 week'],,,,,,,['Intranasal 1 week'],['Intranasal 1 week'],2019,March
2245,2329645,vaccination,20-10-2016 12:49,cat,,,,,,,,,,2016,October
4277,1522537,other_unwell,26-04-2016 13:40,cat,,,,,,,,,,2016,April
2661,5965896,vaccination,04-10-2019 09:37,dog,,,,,,,,,,2019,October
3240,6139470,vaccination,22-05-2019 09:43,unknown,,,['apoquinine'],,,,,,,2019,May
3256,4471935,other_healthy,05-04-2018 13:29,cat,,,,,,,,,,2018,April
778,3530205,other_healthy,23-08-2017 16:35,dog,,,,,,,,,,2017,August
1621,2368245,post_op,28-10-2016 15:27,cat,,,,,,,,,,2016,October
1304,3833498,vaccination,11-03-2017 12:08,cat,,,,,,"['Nobivac ducat', 'Feline leukemia virus vaccine']",ducat felv,,,2017,March
450,52121,other_healthy,21-05-2014 14:55,cat,,,,,,,,,,2014,May
2200,2290834,other_healthy,10-12-2016 09:34,cat,,,,,,,,,,2016,December
3957,2143115,vaccination,09-09-2016 14:56,dog,,,,,,,,,,2016,September
4286,1252492,vaccination,27-02-2016 08:35,dog,,,,,,['Nobivac'],nobivac,,,2016,February
2632,2961441,other_healthy,29-03-2017 12:49,cat,,,,,,,,,,2017,March
1288,5345423,vaccination,14-11-2018 15:15,cat,,,,,,,,,,2018,November
3496,2304233,vaccination,14-10-2016 15:05,dog,,,,,,['Nobivac'],nobivac,,,2016,October
4227,6685307,post_op,16-09-2019 14:40,dog,,,,,,,,,,2019,September
3627,4117958,other_healthy,18-01-2018 16:00,dog,['Intranasal 1 week'],,,,,,,['Intranasal 1 week'],['Intranasal 1 week'],2018,January
653,1298848,post_op,03-08-2016 17:42,dog,,,,,['RS'],,,,,2016,August
3795,4011926,vaccination,18-12-2017 18:12,cat,,,,,,,,,,2017,December
3732,458071,kidney_disease,29-06-2015 13:40,cat,,,['fice'],['cystitis'],['cystitis'],,,,,2015,June
3082,3436534,other_unwell,08-01-2017 07:40,cat,,,,,,,,,,2017,January
2681,4687555,other_unwell,07-03-2018 15:32,dog,['Intranasal 1 week'],,,,,,,['Intranasal 1 week'],['Intranasal 1 week'],2018,March
3631,3668735,vaccination,26-09-2017 16:06,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],['Cough'],['Cough'],"['Nobivaclepto4', 'Kennel cough vaccine']",l4 kc,,,2017,September
4317,585641,trauma,09-07-2015 17:11,dog,,,,['Pain'],['Pain'],,,,,2015,July
126,2624758,vaccination,01-03-2017 16:16,unknown,,,,,,,,,,2017,March
3902,592153,vaccination,09-09-2015 14:08,dog,,,,,,,,,,2015,September
1308,3789590,vaccination,24-10-2017 17:36,dog,['nobivacdhp'],['nobivacdhp'],['nobivacdhp'],,,['Nobivacdhp'],dhp,,,2017,October
3898,1172031,other_healthy,02-09-2016 12:25,dog,,,,['Empty Anal Glands - Vomiting'],['Empty Anal Glands - Vomiting'],,,,,2016,September
771,1485665,vaccination,18-04-2016 15:19,cat,,,,['Feline leukemia virus'],['Feline leukemia virus'],"['Nobivac ducat', 'Feline leukemia virus vaccine']",ducat felv,,,2016,April
3648,1496607,vaccination,20-04-2016 12:18,dog,,,,,,,,,,2016,April
1024,4471955,other_healthy,05-04-2018 13:45,dog,,,,,,,,,,2018,April
4049,542746,vaccination,20-08-2015 14:49,cat,,,['fine'],,,,,,,2015,August
1491,126410,vaccination,24-07-2014 12:16,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],,,['Nobivaclepto4'],l4,,,2014,July
3429,4373399,other_healthy,04-05-2018 14:09,dog,['Intranasal 2 week'],,,,,,,['Intranasal 2 week'],['Intranasal 2 week'],2018,May
3905,6189230,vaccination,06-03-2019 12:42,dog,,,,,,,,,,2019,March
3389,3664451,vaccination,25-09-2017 17:45,dog,,,,,,,,,,2017,September
1895,388257,other_healthy,14-04-2015 11:01,cat,,,,,,,,,,2015,April
2443,3299671,vaccination,28-06-2017 10:34,dog,['Intranasal 2 week'],,,,,,,['Intranasal 2 week'],['Intranasal 2 week'],2017,June
1405,4185191,vaccination,02-06-2018 09:43,dog,,,,,,['Nobivaclepto4'],l4,,,2018,June
2831,1545265,vaccination,05-03-2016 09:53,cat,,,['trica'],,,"['Nobivac tricat', 'Feline leukemia virus vaccine']",tricat felv,,,2016,March
1681,5066999,vaccination,17-09-2018 17:42,dog,,,,['Cough'],['Cough'],['Kennel cough vaccine'],kc,,,2018,September
3177,5046776,post_op,13-09-2018 10:11,cat,,,,,,,,,,2018,September
3329,4696039,vaccination,07-04-2018 18:40,dog,,,,,,,,,,2018,April
1873,5965455,vaccination,04-10-2019 08:55,cat,,,,,,,,,,2019,October
2233,4457876,vaccination,30-04-2018 18:04,dog,,,,,,,,,,2018,April
400,3579600,vaccination,09-05-2017 14:13,dog,,,,,,['Nobivaclepto4'],l4,,,2017,May
535,5631235,vaccination,22-01-2019 14:35,dog,"['nobivacdhp', 'Nobivaclepto4']","['nobivacdhp', 'Nobivaclepto4']","['nobivacdhp', 'Nobivaclepto4']",,,"['Nobivacdhp', 'Nobivaclepto4']",dhp l4,,,2019,January
3104,821508,post_op,16-11-2015 09:36,dog,,,,,,,,,,2015,November
932,17964,vaccination,04-08-2014 09:54,dog,,,['fine'],,,,,,,2014,August
2699,6787698,vaccination,10-09-2019 14:36,dog,,,,,,['Nobivaclepto4'],l4,,,2019,September
1052,630984,vaccination,22-09-2015 14:24,unknown,,,['pi/l'],,,['Nobivac'],nobivac,,,2015,September
1851,5661373,vaccination,29-01-2019 14:44,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],['Cough'],['Cough'],['Nobivaclepto4'],l4,,,2019,January
1583,3165399,vaccination,23-05-2017 11:31,dog,,,['A063A01'],,,"['Nobivaclepto4', 'Nobivac']",l4 nobivac,,,2017,May
589,3605096,vaccination,09-11-2017 17:06,dog,,,,['Cough'],['Cough'],['Kennel cough vaccine'],kc,,,2017,November
2634,3714511,vaccination,10-06-2017 14:49,dog,,,,['Cough'],['Cough'],['Kennel cough vaccine'],kc,,,2017,June
4265,4736425,other_healthy,07-12-2018 16:56,cat,,,,,,,,,,2018,December
1705,4182358,other_unwell,02-05-2018 15:09,cat,,,,,,,,,,2018,May
8,6825629,other_healthy,17-10-2019 18:15,dog,"['nobivacdhp', 'Nobivaclepto4']","['nobivacdhp', 'Nobivaclepto4']","['nobivacdhp', 'Nobivaclepto4']",['Cough'],['Cough'],"['Nobivacdhp', 'Nobivaclepto4', 'Kennel cough vaccine']",dhp l4 kc,,,2019,October
3027,6689931,other_healthy,17-09-2019 10:42,dog,,,,,,,,,,2019,September
1996,2364138,vaccination,27-10-2016 18:02,dog,,,,,,,,,,2016,October
1562,530037,other_healthy,14-08-2015 14:48,unknown,,,,,,,,,,2015,August
4140,3123458,,05-11-2017 17:29,dog,['Intranasal 2 week'],,,,,,,['Intranasal 2 week'],['Intranasal 2 week'],2017,November
2888,2596264,vaccination,23-12-2016 09:19,cat,,,,['bleeding'],['bleeding'],,,,,2016,December
889,2994326,vaccination,04-06-2017 16:55,cat,,,,,,,,,,2017,June
35,250352,post_op,13-11-2014 17:06,dog,,,,,,,,,,2014,November
1476,1717167,vaccination,06-09-2016 10:29,dog,,,,,,,,,,2016,September
2075,1924418,vaccination,24-07-2016 10:57,cat,,,,['Feline leukemia virus 5hx201'],['Feline leukemia virus 5hx201'],"['Nobivac tricat', 'Feline leukemia virus vaccine']",tricat felv,,,2016,July
1585,793704,trauma,11-09-2015 09:13,dog,,,,,['healer'],,,,,2015,September
1532,4139646,vaccination,24-01-2018 15:10,cat,,,,,,,,,,2018,January
2543,1415720,other_healthy,04-04-2016 14:52,dog,,,,,,,,,,2016,April
337,4763661,post_op,18-07-2018 11:06,unknown,,,,,,,,,,2018,July
2591,3856517,other_healthy,11-09-2017 09:36,rabbit,,,,,,,,,,2017,September
2719,2391878,other_healthy,11-03-2016 10:01,dog,,,,,,,,,,2016,March
2770,5971063,vaccination,04-11-2019 09:33,dog,,,,,,,,,,2019,November
3912,2542846,gastroenteric,12-09-2016 17:06,dog,,,,['diarrhoea'],['diarrhoea'],,,,,2016,September
248,6139578,other_healthy,22-05-2019 09:50,dog,,,,,,,,,,2019,May
4082,2183780,other_healthy,19-09-2016 16:39,cat,,,,,,,,,,2016,September
1757,4403713,vaccination,13-04-2018 16:28,dog,,,,,,['Nobivaclepto4'],l4,,,2018,April
3604,1727501,post_op,06-11-2016 08:42,dog,,,,,,,,,,2016,November
1667,4501256,trauma,14-05-2018 17:05,dog,,,,,,,,,,2018,May
2604,115542,pruritus,15-07-2014 17:15,dog,,,,['otitis'],['otitis'],,,,,2014,July
1033,4193874,vaccination,02-08-2018 10:27,dog,,,,,,,,,,2018,August
2859,4577041,vaccination,06-05-2018 18:00,dog,['tartar'],,,,,,,['tartar'],['tartar'],2018,May
3375,3510046,other_healthy,18-08-2017 14:08,dog,,,,,,,,,,2017,August
175,560725,vaccination,27-08-2015 17:47,unknown,,,,,,,,,,2015,August
3809,4788910,vaccination,23-07-2018 17:09,cat,,,,,,,,['panace wormer'],,2018,July
3479,4933600,other_healthy,21-08-2018 11:16,dog,,,,,,,,,,2018,August
676,5182943,other_healthy,10-11-2018 10:25,dog,,,['fine'],,,,,,,2018,November
2465,2536308,vaccination,12-08-2016 14:19,cat,,,,,,,,,,2016,August
4112,1137796,post_op,02-02-2016 09:20,dog,,,,,,,,,,2016,February
2909,4868823,vaccination,08-08-2018 11:46,dog,,,['Creatine'],,,,,,,2018,August
1185,6059380,other_healthy,05-03-2019 09:32,dog,,,,,,,,,,2019,March
934,5192929,vaccination,10-12-2018 17:41,cat,,,,,,,,,,2018,December
4158,4719229,vaccination,07-09-2018 18:43,cat,,,,,,,,,,2018,September
3527,1986243,other_healthy,08-05-2016 16:16,dog,,,['gaine'],['Club'],['Club'],,,,,2016,May
1566,403165,post_op,05-05-2015 09:32,dog,,,,,,,,,,2015,May
1334,3826403,other_unwell,11-02-2017 09:40,cat,,,,['Club'],['Club'],,,,,2017,February
732,1674021,other_healthy,31-05-2016 16:45,dog,,,,,,,,,,2016,May
252,2137327,vaccination,09-08-2016 15:10,dog,,,,"['Cough', 'Vomiting']","['Cough', 'Vomiting']",['Kennel cough vaccine'],kc,,,2016,August
2839,1822495,post_op,07-01-2016 16:47,dog,,,,,,,,,,2016,January
2668,6220714,post_op,06-10-2019 10:21,unknown,,,,,,,,,,2019,October
2469,38518,vaccination,05-07-2014 09:20,dog,,,,,,,,,,2014,July
257,3218480,other_healthy,06-07-2017 09:10,dog,,,,,,,,,,2017,July
2342,4142540,other_healthy,25-01-2018 10:33,dog,,,,,,,,,,2018,January
2324,3676526,vaccination,28-09-2017 09:56,cat,,,,,,,,,,2017,September
3628,167265,other_healthy,28-08-2014 09:46,dog,,,,,,,,,,2014,August
1623,3165384,vaccination,23-05-2017 11:27,cat,,,,,,,,,,2017,May
1048,269249,other_unwell,12-03-2014 10:54,dog,,,,,,,,,,2014,March
2846,2136165,tumour,09-08-2016 11:12,dog,,,,['tumour'],['tumour'],,,,,2016,August
1379,1625524,vaccination,19-05-2016 17:03,dog,,,,,,,,,,2016,May
1788,3558290,other_healthy,31-08-2017 09:42,unknown,,,,,,,,,,2017,August
3285,3046767,vaccination,21-04-2017 14:40,dog,['Intranasal 2 week'],,,,,['Nobivaclepto4'],l4,['Intranasal 2 week'],['Intranasal 2 week'],2017,April
334,2557100,vaccination,13-12-2016 18:25,dog,,,['Creatine'],,,,,,,2016,December
1211,2025573,other_healthy,15-08-2016 13:56,dog,,,,,,['Nobivaclepto4'],l4,,,2016,August
3532,6434133,other_healthy,25-07-2019 08:40,cat,,,,,,,,,,2019,July
578,2967704,post_op,30-03-2017 17:55,dog,,,,,,,,,,2017,March
4146,4791922,vaccination,24-07-2018 10:18,dog,,,['l4=A085A01'],,,,,,,2018,July
2077,159354,other_unwell,20-08-2014 16:34,cat,,,,,,,,,,2014,August
2295,4870501,vaccination,08-08-2018 15:58,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],['pain'],['pain'],['Nobivaclepto4'],l4,,,2018,August
1416,6233585,vaccination,06-12-2019 11:46,cat,,,,,,,,,,2019,December
3106,554806,other_unwell,25-08-2015 18:18,dog,,,,,,,,,,2015,August
830,2862128,other_unwell,03-03-2017 12:51,cat,,,,,,,,,,2017,March
2435,6230069,vaccination,06-11-2019 16:55,rabbit,['Intranasal 2 week'],,,['Club'],['Club'],,,['Intranasal 2 week'],['Intranasal 2 week'],2019,November
3770,6795973,vaccination,10-11-2019 09:20,dog,,,,['Cough'],['Cough'],['Kennel cough vaccine'],kc,,,2019,November
2349,78631,post_op,16-06-2014 17:21,dog,['Nobivaclepto2'],['Nobivaclepto2'],['Nobivaclepto2'],,,['Nobivaclepto2'],l2,,,2014,June
865,3143457,other_healthy,17-05-2017 11:17,dog,,,['otidine'],,,,,,,2017,May
2474,3471233,vaccination,08-09-2017 11:35,cat,,,['Vaccine'],,,,,,,2017,September
2943,6361058,vaccination,07-10-2019 14:58,cat,,,,,,,,,,2019,October
444,5307708,vaccination,11-06-2018 17:05,dog,,,,,,['Nobivaclepto4'],l4,,,2018,June
1177,452235,vaccination,24-06-2015 09:35,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],,,['Nobivaclepto4'],l4,,,2015,June
484,4431395,other_healthy,23-04-2018 10:36,dog,,,,,,,,,,2018,April
1890,2528603,vaccination,12-06-2016 18:03,dog,,,,['Cough'],['Cough'],['Kennel cough vaccine'],kc,,,2016,June
3699,4792892,vaccination,24-07-2018 12:17,dog,['tartar'],,['fine'],,,,,['tartar'],['tartar'],2018,July
1882,4010277,vaccination,18-12-2017 16:22,dog,['Nobivaclepto4 A082A01'],['Nobivaclepto4 A082A01'],['Nobivaclepto4 A082A01'],,,['Nobivaclepto4'],l4,,,2017,December
4363,761842,vaccination,30-10-2015 11:47,dog,,,,,['healer'],,,,,2015,October
3535,142831,post_op,08-06-2014 18:22,dog,,,,,,,,,,2014,June
3217,2353733,vaccination,26-10-2016 08:47,dog,,,,,,,,,,2016,October
3929,6475231,post_op,08-01-2019 18:02,dog,,,,['swelling'],['swelling'],,,,,2019,January
1227,5737069,vaccination,15-02-2019 11:11,cat,,,,,,,,,,2019,February
4142,5343817,vaccination,14-11-2018 10:51,cat,,,,,,,,,,2018,November
2676,622829,vaccination,19-09-2015 08:57,cat,,,,,,,,,,2015,September
2189,4278721,other_healthy,03-07-2018 10:03,dog,,,,['Cough'],['Cough'],,,,,2018,July
1314,4306516,vaccination,15-03-2018 16:11,dog,,,,,,,,,,2018,March
